Zeit	01.10 (MFC01)	02.10 (MFC02)	03.20 (MFC03)	TC00	TC01	TC02	TC03	TC04	TC05	TC06	TC07	NH3 (%)	NH3 (ppm)
05.11.24 00:01:41	2008,10444	0,0	-1,583545	46,887161	249,128403	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,009059	811,3914
05.11.24 00:01:43	2007,944979	0,0	-1,583545	46,887161	249,097275	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,007391	811,24105
05.11.24 00:01:45	2007,626057	0,0	-1,583545	46,887161	249,097275	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,007391	811,140991
05.11.24 00:01:47	2006,35013	0,0	-1,583545	46,887161	249,128403	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,007391	811,040932
05.11.24 00:01:49	2006,19067	0,0	-1,583545	46,887161	249,128403	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,007391	810,990815
05.11.24 00:01:51	2006,828633	0,0	-1,583545	46,887161	249,128403	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,009059	811,24105
05.11.24 00:01:53	2007,227345	0,0	-1,583545	46,887161	249,128403	797,237366	796,303528	779,96106	752,474731	800,007812	12,116732	-0,007391	811,591693
05.11.24 00:01:55	2005,871628	0,0	-1,583545	46,887161	249,128403	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,007391	811,591693
05.11.24 00:01:57	2010,177791	0,0	-1,583545	46,887161	249,128403	797,237366	796,303528	779,929932	752,474731	800,007812	12,054475	-0,010729	811,541576
05.11.24 00:01:59	2008,10444	0,0	-1,647023	46,887161	249,097275	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,014068	802,729402
05.11.24 00:02:01	2008,18423	0,0	-1,583545	46,887161	249,128403	797,237366	796,303528	779,929932	752,474731	800,03894	12,116732	-0,010729	797,622378
05.11.24 00:02:03	2007,386806	0,0	-1,583545	46,887161	249,128403	797,237366	796,303528	779,929932	752,474731	800,03894	12,116732	-0,014068	786,356925
05.11.24 00:02:05	2007,067764	0,0	-1,647023	46,887161	249,128403	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,010729	780,799374
05.11.24 00:02:07	2006,908303	0,0	-1,583545	46,887161	249,128403	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,010729	771,987375
05.11.24 00:02:09	2007,546267	0,0	-1,583545	46,887161	249,128403	797,237366	796,303528	779,929932	752,474731	800,03894	12,116732	-0,010729	769,083395
05.11.24 00:02:11	2007,067764	0,0	-1,583545	46,824902	249,128403	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,010729	768,582576
05.11.24 00:02:13	2007,785518	0,0	-1,583545	46,887161	249,128403	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,010729	768,532634
05.11.24 00:02:15	2008,822194	0,0	-1,647023	46,887161	249,097275	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,010729	769,183454
05.11.24 00:02:17	2005,313455	0,0	-1,583545	46,887161	249,097275	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,010729	769,734215
05.11.24 00:02:19	2008,662733	0,0	-1,647023	46,887161	249,097275	797,237366	796,303528	779,929932	752,474731	799,976624	12,054475	-0,010729	770,635444
05.11.24 00:02:21	2006,589382	0,0	-1,583545	46,887161	249,128403	797,237366	796,303528	779,929932	752,474731	799,976624	12,054475	-0,010729	771,036029
05.11.24 00:02:23	2007,944979	0,0	-1,583545	46,887161	249,128403	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,010729	771,787082
05.11.24 00:02:25	2008,264021	0,0	-1,647023	46,918289	249,128403	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,010729	772,838487
05.11.24 00:02:27	2007,546267	0,0	-1,583545	46,887161	249,097275	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,010729	773,889892
05.11.24 00:02:29	2005,552706	0,0	-1,583545	46,887161	249,097275	797,237366	796,303528	779,929932	752,474731	799,914368	12,116732	-0,014068	776,643697
05.11.24 00:02:31	2009,061445	0,0	-1,583545	46,887161	249,128403	797,237366	796,303528	779,929932	752,474731	799,914368	12,116732	-0,010729	778,295979
05.11.24 00:02:33	2008,264021	0,0	-1,583545	46,887161	249,128403	797,237366	796,303528	779,929932	752,474731	799,914368	12,116732	-0,010729	778,796623
05.11.24 00:02:35	2008,18423	0,0	-1,647023	46,887161	249,128403	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,014068	779,597794
05.11.24 00:02:37	2005,871628	0,0	-1,583545	46,918289	249,159531	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,010729	780,048321
05.11.24 00:02:39	2008,662733	0,0	-1,647023	46,918289	249,159531	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,009059	781,350135
05.11.24 00:02:41	2008,10444	0,0	-1,583545	46,887161	249,128403	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,007391	782,601833
05.11.24 00:02:43	2008,10444	0,0	-1,583545	46,887161	249,159531	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,009059	783,653238
05.11.24 00:02:45	2007,944979	0,0	-1,583545	46,918289	249,159531	797,237366	796,303528	779,929932	752,474731	800,03894	12,116732	-0,007391	789,060788
05.11.24 00:02:47	2006,110879	0,0	-1,647023	46,918289	249,159531	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,007391	797,372143
05.11.24 00:02:49	2007,546267	0,0	-1,583545	46,918289	249,128403	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,007391	801,828173
05.11.24 00:02:51	2004,595701	0,0	-1,583545	46,918289	249,159531	797,237366	796,303528	779,929932	752,474731	800,03894	12,116732	-0,007391	810,440054
05.11.24 00:02:53	2005,791957	0,0	-1,583545	46,918289	249,159531	797,237366	796,303528	779,929932	752,474731	800,03894	12,116732	-0,007391	814,345323
05.11.24 00:02:55	2008,582942	0,0	-1,583545	46,918289	249,190659	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,007391	819,652639
05.11.24 00:02:57	2006,35013	0,0	-1,583545	46,918289	249,190659	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,007391	822,857145
05.11.24 00:02:59	2007,705728	0,0	-1,583545	46,918289	249,159531	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,007391	823,507965
05.11.24 00:03:01	2006,828633	0,0	-1,583545	46,918289	249,159531	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,009059	824,158785
05.11.24 00:03:03	2005,632377	0,0	-1,583545	46,918289	249,190659	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,007391	824,309135
05.11.24 00:03:05	2007,227345	0,0	-1,583545	46,918289	249,159531	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,007391	824,309135
05.11.24 00:03:07	2005,313455	0,0	-1,583545	46,918289	249,159531	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,007391	823,808317
05.11.24 00:03:09	2008,582942	0,0	-1,583545	46,918289	249,159531	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,007391	821,905799
05.11.24 00:03:11	2007,386806	0,0	-1,583545	46,949417	249,159531	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,007391	820,003107
05.11.24 00:03:13	2006,908303	0,0	-1,583545	46,949417	249,159531	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,007391	816,047722
05.11.24 00:03:15	2007,944979	0,0	-1,583545	46,918289	249,159531	797,237366	796,303528	779,929932	752,474731	799,976624	12,054475	-0,009059	813,644386
05.11.24 00:03:17	2007,067764	0,0	-1,583545	46,949417	249,159531	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,007391	809,338532
05.11.24 00:03:19	2008,901864	0,0	-1,583545	46,949417	249,190659	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,007391	805,933908
05.11.24 00:03:21	2007,307016	0,0	-1,583545	46,949417	249,159531	797,237366	796,303528	779,96106	752,474731	799,914368	12,116732	-0,009059	804,78227
05.11.24 00:03:23	2006,589382	0,0	-1,583545	46,949417	249,190659	797,237366	796,303528	779,929932	752,474731	799,914368	12,116732	-0,007391	803,380396
05.11.24 00:03:25	2008,901864	0,0	-1,583545	46,949417	249,190659	797,237366	796,303528	779,929932	752,474731	799,914368	12,116732	-0,007391	802,829635
05.11.24 00:03:27	2009,061445	0,0	-1,583545	46,949417	249,190659	797,237366	796,303528	779,929932	752,474731	799,914368	12,116732	-0,007391	802,829635
05.11.24 00:03:29	2008,822194	0,0	-1,583545	46,949417	249,159531	797,237366	796,303528	779,929932	752,474731	799,914368	12,116732	-0,009059	802,729402
05.11.24 00:03:31	2006,27034	0,0	-1,583545	46,949417	249,190659	797,237366	796,303528	779,929932	752,474731	799,914368	12,116732	-0,007391	802,729402
05.11.24 00:03:33	2006,828633	0,0	-1,583545	46,949417	249,190659	797,237366	796,303528	779,929932	752,474731	799,914368	12,116732	-0,007391	802,579226
05.11.24 00:03:35	2007,626057	0,0	-1,647023	46,949417	249,190659	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,007391	802,479167
05.11.24 00:03:37	2005,552706	0,0	-1,583545	46,949417	249,159531	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,007391	802,479167
05.11.24 00:03:39	2007,386806	0,0	-1,583545	46,949417	249,190659	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,007391	802,479167
05.11.24 00:03:41	2007,227345	0,0	-1,583545	46,949417	249,190659	797,237366	796,303528	779,929932	752,474731	800,03894	12,116732	-0,007391	802,829635
05.11.24 00:03:43	2006,589382	0,0	-1,583545	46,949417	249,190659	797,237366	796,303528	779,929932	752,474731	800,03894	12,116732	-0,007391	803,07987
05.11.24 00:03:45	2007,307016	0,0	-1,583545	46,918289	249,190659	797,237366	796,303528	779,929932	752,474731	800,03894	12,116732	-0,010729	803,330279
05.11.24 00:03:47	2007,705728	0,0	-1,583545	46,949417	249,221786	797,237366	796,303528	779,929932	752,474731	800,03894	12,116732	-0,010729	803,23022
05.11.24 00:03:49	2006,19067	0,0	-1,583545	46,949417	249,190659	797,237366	796,303528	779,929932	752,474731	800,03894	12,116732	-0,010729	794,868748
05.11.24 00:03:51	2008,901864	0,0	-1,647023	46,949417	249,221786	797,237366	796,303528	779,929932	752,474731	800,03894	12,116732	-0,010729	783,953764
05.11.24 00:03:53	2006,19067	0,0	-1,583545	46,949417	249,221786	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,015735	777,695102
05.11.24 00:03:55	2007,386806	0,0	-1,647023	46,949417	249,221786	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,010729	767,481054
05.11.24 00:03:57	2006,589382	0,0	-1,583545	46,949417	249,221786	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,010729	760,721922
05.11.24 00:03:59	2007,626057	0,0	-1,583545	46,949417	249,221786	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,010729	759,06964
05.11.24 00:04:01	2007,227345	0,0	-1,583545	46,949417	249,221786	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,014068	758,468762
05.11.24 00:04:03	2007,227345	0,0	-1,583545	46,949417	249,221786	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,014068	758,468762
05.11.24 00:04:05	2007,785518	0,0	-1,583545	46,918289	249,221786	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,010729	759,169699
05.11.24 00:04:07	2008,343691	0,0	-1,583545	46,918289	249,221786	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,010729	760,771865
05.11.24 00:04:09	2007,785518	0,0	-1,583545	46,918289	249,221786	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,010729	761,472801
05.11.24 00:04:11	2006,669052	0,0	-1,583545	46,918289	249,221786	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,010729	762,424147
05.11.24 00:04:13	2009,300576	0,0	-1,583545	46,918289	249,221786	797,237366	796,303528	779,929932	752,474731	799,976624	12,116732	-0,014068	763,175201
05.11.24 00:04:15	2006,748843	0,0	-1,583545	46,918289	249,221786	797,237366	796,303528	779,929932	752,474731	800,007812	12,116732	-0,010729	763,876137
